question,document
When do we get our projects for review after submission?,eae0fb50aa
How will the projects be assigned to us for grading?,eae0fb50aa
Is there a specific deadline for submitting the projects before they are graded?,eae0fb50aa
What format will the project assignments take after the submission deadline?,eae0fb50aa
Can you explain how many projects each participant will receive for evaluation?,eae0fb50aa
Why can't I review projects after I submitted my capstone project?,a8a7fef016
Is there a reason I can't choose which projects to evaluate?,a8a7fef016
When will I be able to start reviewing projects for the capstone?,a8a7fef016
What happens to my submitted project after the deadline?,a8a7fef016
Do I have to wait for a specific list before I can start evaluating other projects?,a8a7fef016
Where can I discover interesting project ideas and data sources for my capstone project?,e76a70cde3
Are there any specific resources available to help me find datasets for my project?,e76a70cde3
What link should I visit to get a list of ideas and datasets for the course project?,e76a70cde3
Can you recommend any websites that offer datasets for the LLM Zoomcamp capstone project?,e76a70cde3
Do you have any suggestions on where to look for project datasets and ideas?,e76a70cde3
Is it mandatory to use orchestration tools like Airflow or Mage for the capstone project?,d4f7c08ea1
Can I just use a simple Python script for the ingestion pipeline in my capstone project?,d4f7c08ea1
What happens if I use a Jupyter notebook instead of a plain Python script for ingestion?,d4f7c08ea1
When should I consider incorporating an orchestration tool in my project?,d4f7c08ea1
Do I lose points if I include an orchestration tool without a specific need in my capstone?,d4f7c08ea1
What are the two main methods I can use to evaluate a recommender system without a clear ground truth?,9b0e2d6a47
How can I create synthetic ground truth for items in my dataset during the evaluation?,9b0e2d6a47
What should I do to assess the end-to-end quality of a recommender-style RAG using an LLM?,9b0e2d6a47
Why is NDCG generally better than hit-rate for ranking problems in my project evaluation?,9b0e2d6a47
Can you explain the LLM rating process I should follow for measuring relevance and usefulness?,9b0e2d6a47
What is a good strategy for chunking a large corpus with long PDFs and many paragraphs?,6f2a8b3d10
How can I start chunking my documents effectively without getting overwhelmed?,6f2a8b3d10
Are there any recommended tools for parsing PDFs before chunking them?,6f2a8b3d10
What should I aim for when evaluating my chunking method after making changes?,6f2a8b3d10
"How do I adapt my chunking method for long, structured documents like legal or financial papers?",6f2a8b3d10
What does reproducibility mean in the context of my project?,e5d8a2c761
Do I need to provide my API keys to reviewers for them to reproduce my project?,e5d8a2c761
How should I handle sensitive information like API keys in my project repository?,e5d8a2c761
What do I need to include in my repo to allow reviewers to recreate my system?,e5d8a2c761
Can you explain how to share my project's dependencies and environment settings properly?,e5d8a2c761
Is it mandatory to use Python for the homework and capstone project in this course?,ea815eb858
Can I choose a different programming language like JavaScript or Rust for my project instead of Python?,ea815eb858
What should I consider if I decide to use a non-Python language for my assignments?,ea815eb858
How thorough does my documentation need to be if I use a language other than Python?,ea815eb858
What specific instructions should I include in my README if I'm using a non-Python programming language?,ea815eb858
Is there a way to access past projects from the LLM Zoomcamp course?,930286278d
Where should I look if I want to see submissions from the LLM Zoomcamp program?,930286278d
Can I find information about previous LLM Zoomcamp capstone projects online?,930286278d
What links can I check for projects done in the LLM Zoomcamp?,930286278d
Where can I get examples of capstone projects from past LLM Zoomcamp cohorts?,930286278d
Do I have to announce my project idea before I start working on it?,897a350476
Is it necessary to reserve my project topic for the capstone project?,897a350476
Can I get feedback on my project idea from the course's Slack?,897a350476
Are similar project topics allowed if I make my own submission?,897a350476
Where can I find examples of previous projects for inspiration?,897a350476
Is it okay to create my project as a WhatsApp or Telegram bot instead of using a web app?,7318a90b14
Are there any specific rules regarding the interface I can use for the Capstone Project?,7318a90b14
"Can I choose to develop my project as a CLI or a Slack app, or does it have to be a web-based application?",7318a90b14
What types of interfaces are allowed for the Capstone Project in the course?,7318a90b14
Will the course provide guidance on how to build interfaces like Telegram bots or Slack apps?,7318a90b14
What tools can I use to get text from PDFs or scanned documents for my project?,d8b28c47a0
Can you recommend specific software for text extraction from PDF files?,d8b28c47a0
Are there community-recommended options for converting PDF documents to text formats?,d8b28c47a0
Is there a preferred method or tool for extracting text from scanned documents?,d8b28c47a0
What should I do after extracting text from PDFs for my RAG project?,d8b28c47a0
Is it okay to share the workshop content from the dlt module with others?,d850a0e7ea
Can I incorporate what I learned in the dlt workshop into my own capstone project?,d850a0e7ea
Are there any restrictions on using the dlt workshop materials for different Zoomcamps?,d850a0e7ea
Can I use the dlt materials for projects other than those related to the workshop?,d850a0e7ea
Is there any guidance on asking questions about the dlt workshop materials when using them in my projects?,d850a0e7ea
What is the command to initialize a new dlt project using cloud data?,6bceeebf04
Can you guide me on setting up a dlt project for cloud ingestion?,6bceeebf04
What steps do I need to follow to create a dlt project from cloud storage?,6bceeebf04
Is there a specific command I should use to start a dlt project with cloud files?,6bceeebf04
Where can I find more detailed instructions for initializing a dlt project?,6bceeebf04
What could cause a FileNotFoundError when trying to open the notion_pages___homework table?,0407213397
How can I fix the issue of the table not existing in my pipeline settings?,0407213397
What steps should I take to change the table references in my code correctly?,0407213397
"Is there a specific reason I need to change ""employee_handbook"" to ""homework"" in the pipeline?",0407213397
"Can I just create the table directly, or do I need to change the references first?",0407213397
How can I fix the FileNotFoundError I'm seeing about the notion_pages___homework table when running main()?,e95bfafc0e
What should I check in line 3 of my code to resolve the error related to the notion_pages___homework table?,e95bfafc0e
Is there a specific command I need to run before accessing the notion_pages___homework table to avoid this error?,e95bfafc0e
Can you explain how to properly open the notion_pages___homework table in my script to prevent the FileNotFoundError?,e95bfafc0e
What steps should I follow if I encounter an error about a missing table in the dlt workshop?,e95bfafc0e
What method can I use to see all the tables in my database?,e394e6f738
Is there a specific command for listing the tables in the db?,e394e6f738
How can I check which tables are available in the database?,e394e6f738
What's the easiest way to find out what tables exist in the database?,e394e6f738
Can you tell me how to list the tables in my database using code?,e394e6f738
Are there any available connectors for ClickHouse in DLT?,cd19f122f3
Can I use StarRocks with DLT for data ingestion?,cd19f122f3
What are the options for integrating DLT with ClickHouse or StarRocks?,cd19f122f3
Is there any chance DLT will support ClickHouse or StarRocks in the future?,cd19f122f3
How can I contribute to adding connectors for ClickHouse or StarRocks in DLT?,cd19f122f3
What should I do if I get a 401 Client Error when trying to use the Notion API?,0dfba07ace
Can you explain how to troubleshoot authorization issues with the Notion API?,0dfba07ace
Is there a way to check if my API key has the right permissions for Notion?,0dfba07ace
How can I confirm I'm using the correct endpoint for the Notion API?,0dfba07ace
What steps can I take if my Token might have expired while working with the Notion API?,0dfba07ace
I'm getting a 401 Client Error when trying to install requests library. What should I do?,4b30b918bc
What's the command to install the specific version of the requests library needed for lancedb?,4b30b918bc
Why is my requests library only installing version 2.28 instead of 2.32?,4b30b918bc
How can I fix the issue to get requests library version 2.32 installed?,4b30b918bc
Is there a direct way to install requests version 2.32 from the source?,4b30b918bc
